year,Profit,PV,Biomass,Type,Type2
9,520453.1735,239631.099,1682114058,Combined,Combined
10,591234.9103,249744.0155,1777838944,Combined,Combined
11,656409.3919,254380.2026,1861891130,Combined,Combined
12,712634.6444,253366.3624,1935668833,Combined,Combined
13,761123.7441,248262.3129,2000246386,Combined,Combined
14,803861.3658,240552.6721,2056304182,Combined,Combined
15,841789.074,231103.1236,2104367716,Combined,Combined
16,875013.5514,220389.4555,2145262836,Combined,Combined
17,903694.2905,208819.5105,2179996346,Combined,Combined
18,928273.8658,196788.2487,2209396923,Combined,Combined
19,949210.53,184611.6426,2234146673,Combined,Combined
20,959210.53,184611.6426,2234146673,Combined,Combined
