"","X1","Label","Months.closed","F.Mortality","Selectivity","year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","CatchTotal","RevenueTotal","Biomass","Profit"
"12",12,"1-0.576057-32",11,0.318057,32,11,323302.739401778,245301.43841959,185412.60236733,135837.349289508,98974.1532989691,71682.0985674022,51548.5525306326,36565.5929055056,25243.1388137302,16834.1989682366,10908.7927337895,8161.04019563177,6151.58000683666,3933.86725399183,2216.10906979449,1248.67028658172,703.716195816183,3511.20658889184,47606.317611838,195649.478055391,2727619649.98921,153204.00928827
"13",13,"1-0.576057-32",11,0.318057,32,12,328238.00763879,249782.154988922,189518.721751946,139501.991166627,102202.226055493,74466.8446640069,53932.663440773,38784.4495356042,27511.468764138,18992.6039700063,12665.8287828335,8207.63145631691,6140.25876744891,4628.36748321127,2959.7897225445,1667.37117073778,939.483018223614,5283.57085002654,51398.76021951,211705.69990594,2920089790.62943,169260.231138819
"14",14,"1-0.576057-32",11,0.318057,32,13,332508.884486334,253595.119698007,192980.502009835,142591.38111536,104959.454163202,76895.6039361175,56027.8695940215,40578.2230703057,29180.9071629303,20699.265441042,14289.7841755438,9529.60215444444,6175.31341612734,4619.84953234439,3482.32251484009,2226.90666361216,1254.50802891452,7950.5777346074,55115.5220409175,227479.077319095,3111807636.81096,185033.608551974
"15",15,"1-0.576057-32",11,0.318057,32,14,336302.294143197,256894.778787335,195926.380364266,145195.978822262,107283.870323893,78970.1059182646,57855.2359660903,42154.6284847752,30530.5186596565,21955.3288250193,15573.8537070483,10751.4447258574,7169.94669508521,4646.22418664431,3475.91372120137,2620.05342949745,1675.49513759948,11963.8191874946,58822.1885824588,243247.533994096,3309179045.37873,200802.065226975
"16",16,"1-0.576057-32",11,0.318057,32,15,339800.419051413,259825.549001656,198475.681244259,147412.418756392,109243.53521,80718.965912548,59416.0638358988,43529.5147882936,31716.5852559748,22970.7586754762,16518.8991940276,11717.5616680402,8089.24489503485,5394.57311828987,3495.75766246639,2615.23153787757,1971.29356748756,18002.8388286845,62642.4178687208,259537.388481359,3522682360.03216,217091.919714238
"17",17,"1-0.576057-32",11,0.318057,32,16,343187.923416817,262528.183627058,200739.980338244,149330.479040867,110911.155318689,82193.3918692563,60731.8829784987,44703.8610459189,32751.0315369701,23863.1395046651,17282.895191172,12428.6014004714,8816.13851183066,6086.24093229748,4058.80550667468,2630.16185698057,1967.66563997036,27090.1959326136,66779.2281473831,277216.930073159,3771846706.94652,234771.461306039
"18",18,"1-0.576057-32",11,0.318057,32,17,346698.640606312,265145.353348511,202828.022963957,151034.107748811,112354.278523075,83448.0871957954,61841.2215788009,45693.8659758114,33634.5941382503,24641.4432127801,17954.3107312233,13003.4218899322,9351.11540771731,6633.14608121735,4579.20722720482,3053.79161238156,1978.8990147088,40764.6106622961,71611.8851680161,297914.536215632,4086591106.71701,255469.067448512
"19",19,"1-0.576057-32",11,0.318057,32,18,350562.670742859,267857.71671039,204850.035812366,152605.123419853,113636.066243718,84533.874019022,62785.2377574472,46528.5176750178,34379.4607612384,25306.2240347156,18539.8961532936,13508.5860672399,9783.60274579092,7035.65562615366,4990.69143205112,3445.33498803986,2297.6324429727,61341.5084402555,77721.9180883205,324130.651709674,4505034254.22148,281685.182942553
"20",20,"1-0.576057-32",11,0.318057,32,19,354902.730980523,270843.047970604,206945.594813496,154126.459159258,114818.077668325,85498.2741568744,63602.1694108982,47238.782969465,35007.4416669764,25866.6518359205,19040.0684563912,13949.1727983139,10163.6815953443,7361.05338253753,5293.53429313639,3754.93026461093,2592.22450324821,92305.0802299503,85850.2705463138,359052.858025362,5081184119.49328,316607.389258241
"21",21,"10-0.576057-32",2,0.318057,32,0,176958.348523671,136969.251701554,89942.9181316662,50668.5416070175,28549.2727914244,16089.5841424226,9069.77057667427,5113.97875849846,2884.31718249883,1627.27126598835,918.379598282211,518.493810373965,292.845895219848,165.472418969579,93.5451845580588,52.9111236627982,29.9450341270776,39.1988840684049,130012.795403317,509345.62520545,586703772.311464,0
"22",22,"10-0.576057-32",2,0.318057,32,1,177968.601181278,136717.176350904,105821.790809874,53310.202327664,30031.8275282506,16921.4824294506,9536.48162432191,5375.7573642451,3031.11404408554,1709.56797678143,964.502400342855,544.334153427767,307.317246436392,173.573131151274,98.0774064057247,55.4453070809701,31.361031712565,46.4672591041849,103348.434906397,404883.788769458,626098194.686015,-19570.8989017506
"23",23,"10-0.576057-32",2,0.318057,32,2,182983.9537267,137497.692737395,105627.038595831,62721.7928430096,31597.5702284436,17800.2096780634,10029.5573096425,5652.38237147725,3186.27323535147,1796.57616547281,1013.28060761492,571.671668830283,322.63311504539,182.150467503418,102.878791710704,58.1316071111652,32.8630713791054,55.08335811008,110930.542592235,433089.349463781,664451205.979345,8634.66179257294
"24",24,"10-0.576057-32",2,0.318057,32,3,189848.586519179,141372.530201323,106230.061834615,62606.3609652131,37175.928202817,18728.2433896021,10550.3890592395,5944.63400277089,3350.23205957873,1888.54080316975,1064.85136204064,600.583073450797,338.836374929735,191.228359029845,107.962677644846,60.9774434191089,34.4552723116221,65.2970801200118,118229.052672407,460577.869604806,699096705.885859,36123.1819335981
