"","Selectivity","NPV"
"1",11,-1440338.66449582
"2",29,-744256.50181981
"3",43,427981.141934841
"4",56,1868352.79270542
"5",66,3104435.36412125
"6",75,3531176.40120471
"7",82,3444980.54938707
"8",88,3051146.65222938
"9",94,2525627.66877892
"10",98,1986874.92314362
"11",102,1500701.17376829
"12",105,1094774.11308413
"13",108,772824.919646977
"14",110,526129.382440259
"15",112,340842.267822304
"16",113,202065.143790305
"17",115,95676.5061645402
"18",116,8857.04879344218
