"","Months.closed","NPV"
"1",1,4359.12272906995
"2",10,8181.70453142776
"3",11,4936.11644080209
"4",2,6140.97215033159
"5",3,7757.65578635688
"6",4,9160.89185782751
"7",5,10290.1327837596
"8",6,11068.5088084515
"9",7,11397.2278285914
"10",8,11147.7870071661
"11",9,10151.0417642699
