,months,Months.closed,year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,CatchTotal,RevenueTotal,Biomass,Profit
32,10,10,11,312954.1778,237474.3444,179492.0391,127989.042,90788.79425,64049.73414,44900.72309,31069.64135,20943.67091,13678.83563,8720.142587,6396.544097,4692.805188,2915.911124,1637.250736,919.4772391,516.4871802,662.8662587,82866.18969,338848.799,2339737267,254199.2584
33,10,10,12,317621.5525,241786.9056,183471.5462,131443.2049,93727.22018,66485.23326,46904.04305,32881.09587,22752.50343,15337.18844,10017.10161,6385.817971,4684.231461,3436.572213,2135.340962,1198.96952,673.3392509,863.6483073,88462.97423,362418.9625,2473174621,277769.422
34,10,10,13,321524.1759,245392.8971,186803.4105,134357.4242,96256.72648,68637.06196,48687.57513,34348.1403,24079.04353,16661.80843,11231.52432,7335.589625,4676.376648,3430.293616,2516.624513,1563.72428,878.0132933,1125.546133,93638.73632,384254.8169,2594934933,299605.2763
35,10,10,14,324787.3533,248408.0453,189589.3823,136797.3704,98390.82856,70489.43612,50263.37349,35654.23261,25153.36985,17633.2425,12201.55228,8224.91939,5371.900699,3424.541484,2512.026655,1842.940741,1145.125611,1467.219792,98366.11965,404232.9914,2704835400,319583.4509
36,10,10,15,327515.7292,250929.1606,191918.8714,138837.556,100177.6173,72052.25315,51619.87931,36808.20015,26109.82987,18419.97876,12912.93987,8935.27727,6023.162756,3933.878337,2507.814332,1839.5737,1349.597669,1913.037781,102636.3524,422305.5886,2803067169,337656.0481
37,10,10,16,329797.054,253037.0908,193866.6731,140543.4562,101671.6586,73360.73031,52764.34054,37801.57832,26954.88791,19120.40074,13489.07202,9456.231093,6543.36252,4410.80184,2880.805071,1836.488987,1347.131962,2389.249473,106455.5962,438488.8371,2890102893,353839.2966
38,10,10,17,331704.7733,254799.6315,195495.2499,141969.8442,102920.9006,74454.82664,53722.547,38639.67483,27682.3453,19739.24233,14001.99566,9878.136469,6924.860442,4791.747561,3230.059299,2109.632567,1344.873006,2736.176786,109841.2777,452848.9324,2966639761,368199.3918
39,10,10,18,333300.7311,256273.5263,196856.9804,143162.4618,103965.454,75369.65482,54523.76097,39341.37575,28296.08891,20271.96417,14455.17744,10253.75384,7233.824534,5071.121007,3509.028365,2365.393744,1544.897853,2988.579698,112819.8139,465492.2791,3033539554,380842.7386
40,10,10,19,334637.2345,257506.5557,197995.7045,144159.6661,104838.8157,76134.58813,55193.69568,39928.11002,28809.94912,20721.41267,14845.29316,10585.62184,7508.891613,5297.377451,3713.615384,2569.684632,1732.193451,3319.895533,115424.2318,476554.9916,3091699678,391905.451
41,11,11,0,176931.3598,136946.5255,89774.26338,50407.22182,28308.61036,15901.46413,8934.228031,5020.971106,2822.536184,1587.171213,892.7975513,502.3898997,282.8151343,159.2776835,89.74622697,50.59491285,28.53970406,37.07497778,129737.7963,507897.2432,580870516.6,0
