"","length_RAW","count_RAW","length_class","age"
"1",21,1,21,2.01626892494322
"2",21.97856677,1,22,2.07406217904351
"3",23.06272848,1,23,2.13243569639952
"4",24,2.357305936,24,2.19140124735664
"4.1",24,2.357305936,24,2.19140124735664
"5",24.9698858,7.272938071,25,2.25097096406616
"5.1",24.9698858,7.272938071,25,2.25097096406616
"5.2",24.9698858,7.272938071,25,2.25097096406616
"5.3",24.9698858,7.272938071,25,2.25097096406616
"5.4",24.9698858,7.272938071,25,2.25097096406616
"5.5",24.9698858,7.272938071,25,2.25097096406616
"5.6",24.9698858,7.272938071,25,2.25097096406616
"6",25.93434638,20,26,2.31115735546751
"6.1",25.93434638,20,26,2.31115735546751
"6.2",25.93434638,20,26,2.31115735546751
"6.3",25.93434638,20,26,2.31115735546751
"6.4",25.93434638,20,26,2.31115735546751
"6.5",25.93434638,20,26,2.31115735546751
"6.6",25.93434638,20,26,2.31115735546751
"6.7",25.93434638,20,26,2.31115735546751
"6.8",25.93434638,20,26,2.31115735546751
"6.9",25.93434638,20,26,2.31115735546751
"6.10",25.93434638,20,26,2.31115735546751
"6.11",25.93434638,20,26,2.31115735546751
"6.12",25.93434638,20,26,2.31115735546751
"6.13",25.93434638,20,26,2.31115735546751
"6.14",25.93434638,20,26,2.31115735546751
"6.15",25.93434638,20,26,2.31115735546751
"6.16",25.93434638,20,26,2.31115735546751
"6.17",25.93434638,20,26,2.31115735546751
"6.18",25.93434638,20,26,2.31115735546751
"6.19",25.93434638,20,26,2.31115735546751
"7",27,26.45726313,27,2.37197332305415
"7.1",27,26.45726313,27,2.37197332305415
"7.2",27,26.45726313,27,2.37197332305415
"7.3",27,26.45726313,27,2.37197332305415
"7.4",27,26.45726313,27,2.37197332305415
"7.5",27,26.45726313,27,2.37197332305415
"7.6",27,26.45726313,27,2.37197332305415
"7.7",27,26.45726313,27,2.37197332305415
"7.8",27,26.45726313,27,2.37197332305415
"7.9",27,26.45726313,27,2.37197332305415
"7.10",27,26.45726313,27,2.37197332305415
"7.11",27,26.45726313,27,2.37197332305415
"7.12",27,26.45726313,27,2.37197332305415
"7.13",27,26.45726313,27,2.37197332305415
"7.14",27,26.45726313,27,2.37197332305415
"7.15",27,26.45726313,27,2.37197332305415
"7.16",27,26.45726313,27,2.37197332305415
"7.17",27,26.45726313,27,2.37197332305415
"7.18",27,26.45726313,27,2.37197332305415
"7.19",27,26.45726313,27,2.37197332305415
"7.20",27,26.45726313,27,2.37197332305415
"7.21",27,26.45726313,27,2.37197332305415
"7.22",27,26.45726313,27,2.37197332305415
"7.23",27,26.45726313,27,2.37197332305415
"7.24",27,26.45726313,27,2.37197332305415
"7.25",27,26.45726313,27,2.37197332305415
"8",27.94427739,46.46814355,28,2.43343217747282
"8.1",27.94427739,46.46814355,28,2.43343217747282
"8.2",27.94427739,46.46814355,28,2.43343217747282
"8.3",27.94427739,46.46814355,28,2.43343217747282
"8.4",27.94427739,46.46814355,28,2.43343217747282
"8.5",27.94427739,46.46814355,28,2.43343217747282
"8.6",27.94427739,46.46814355,28,2.43343217747282
"8.7",27.94427739,46.46814355,28,2.43343217747282
