length_RAW,count_RAW
21,1
21.97856677,1
23.06272848,1
24,2.357305936
24.9698858,7.272938071
25.93434638,20
27,26.45726313
27.94427739,46.46814355
28.95508689,65.2729024
30,61
30.9130265,52.3233422
31.97784257,41.2334556
33,44.42797517
33.8762451,38.1784302
34.94780079,39.2899371
36,13.9315782
36.98433205,20
37.97861715,13.24985731
39,14.27993008
40.03812136,15.201377
40.92237815,11
42,7.448986872
43.03266465,7.165560788
43.93908832,11.97381564
45,27.75952483
46.09088734,28.01048801
47.05857219,10
48,13.48209189
48.90809563,5.465004281
49.9717026,22.03107163
51,12.03249857
52.01830971,10
52.93037586,17.14665382
54,16.56481878
55.16923024,17.8520976
56.15182735,16.85448773
57,13.10502283
58.08800312,13.13124287
58.99402376,9.17946212
60,17.12417951
61.02652468,12.4158105
62.11632886,13.31603168
63,13.37346604
64.068626,10
65.0072924,6.955800514
66,14.25995291
66.96281381,6.306542523
67.9333199,9
69,2.173765696
69.97710577,12.30968179
70.97018177,7.694955765
72,9
73.01598282,4.399971461
73.97560699,2.403503139
75,2.47932363
76.14554254,4.04038242
77.22365873,3.168878425
78,7.914704623
78.95186891,5.39133847
80.06746728,9.96247373
81,3.899293664
82.15639297,3.076484018
83.03782853,7.168057934
84,5.124143836
85.20494284,3.765696347
86.27540138,3.765696347
87,1.07836158
88.07454556,3.151398402
88.9805662,5.416309932
90,6.281571062
90.87200519,2
91.91465438,2.26592073
94,1
94.96932218,1.08336793
97,2
98.05839125,1.9
99,1
100,1
102.083088,2.443693694
103,1
108.7044324,1.35908361
110,1
115,1
117,1
